id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2021-07-01T22:47:08;Savings Account Dam;ISSUED;CREDIT_CARD;2021-07-02T16:08:39;96990
2;parsing red Chips;2021-07-02T13:05:47;methodology Albania;ISSUED;CREDIT_CARD;2021-07-02T06:33:09;9060
3;Savings Account syndicate Planner;2021-07-02T06:17:45;HDD;CANCELLED;PAYPAL;2021-07-02T11:42:48;44015
4;Rubber Buckinghamshire Games;2021-07-01T19:40:28;Digitized invoice;PAID;PAYPAL;2021-07-01T22:53:42;44975
5;e-enable Communications capacitor;2021-07-02T09:39:40;Georgia;PAID;CREDIT_CARD;2021-07-02T02:55:46;54269
6;Plastic;2021-07-01T22:14:44;Small;PAID;CASH_ON_DELIVERY;2021-07-02T15:43:15;92630
7;deposit Internal;2021-07-01T21:05:50;Highway Ergonomic;CANCELLED;CASH_ON_DELIVERY;2021-07-02T08:18:28;11959
8;bus synthesize Idaho;2021-07-01T22:59:42;Avon;ISSUED;PAYPAL;2021-07-02T02:13:27;47537
9;Montana;2021-07-02T00:48:21;Concrete Investment Account Saint Lucia;PAID;PAYPAL;2021-07-02T02:30:49;80812
10;deposit;2021-07-01T20:34:59;digital maroon;ISSUED;CREDIT_CARD;2021-07-02T12:01:39;64769
