id;tracking_code;date;details;invoice_id
1;Jewelery cutting-edge;2021-07-02T10:11:00;Hat;1
2;supply-chains magenta;2021-07-02T14:37:17;24/7;2
3;Gloves sky blue Oklahoma;2021-07-02T07:48:22;Tasty Concrete Chips Exclusive;3
4;Buckinghamshire capability zero tolerance;2021-07-02T16:36:46;Personal Loan Account;4
5;paradigms Home;2021-07-02T09:12:59;deposit Canadian Dollar Lebanon;5
6;Designer Persistent;2021-07-02T01:22:01;navigate;6
7;Re-contextualized;2021-07-01T22:13:22;Point Orchestrator;7
8;Solomon Islands Licensed;2021-07-01T21:27:04;installation;8
9;Argentine Peso;2021-07-01T20:53:52;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2021-07-02T13:18:48;Yen synthesize Creative;10
