id;name;description;price;product_size;image;image_content_type
1;Automotive Tactics architectures;Wisconsin Facilitator Incredible;30569;L;../fake-data/blob/hipster.png;image/png
2;mesh;Configuration UIC-Franc;57006;XL;../fake-data/blob/hipster.png;image/png
3;Director Concrete Bedfordshire;portal calculating Metal;70891;L;../fake-data/blob/hipster.png;image/png
4;Synergistic Personal Loan Account Sleek;Borders;79829;XL;../fake-data/blob/hipster.png;image/png
5;auxiliary Human;Tools California;43847;S;../fake-data/blob/hipster.png;image/png
6;Specialist generating;Computers Small Fresh Gloves back-end;12706;XL;../fake-data/blob/hipster.png;image/png
7;lavender;Club backing up;19438;S;../fake-data/blob/hipster.png;image/png
8;Frozen Analyst card;redundant;27083;S;../fake-data/blob/hipster.png;image/png
9;Brand;infomediaries Som Rustic Frozen Keyboard;44235;S;../fake-data/blob/hipster.png;image/png
10;Tuna Response invoice;alarm Jamaica;61172;XL;../fake-data/blob/hipster.png;image/png
