id;placed_date;status;code
1;2021-07-02T09:08:22;CANCELLED;China
2;2021-07-02T07:20:11;COMPLETED;Robust Louisiana
3;2021-07-01T20:41:20;CANCELLED;Configurable iterate Liechtenstein
4;2021-07-02T05:34:56;COMPLETED;Interactions
5;2021-07-01T21:10:06;CANCELLED;CFP Franc Borders Borders
6;2021-07-02T15:30:03;PENDING;ivory Data neural
7;2021-07-02T14:46:35;CANCELLED;Designer
8;2021-07-02T16:09:31;CANCELLED;Liaison
9;2021-07-02T00:59:13;PENDING;Centralized revolutionize International
10;2021-07-02T13:58:52;COMPLETED;Maine PCI SAS
